ID Otazka,ID odpoved,ID_Sypanie,Do nultej verzie,Vybrať (Y),Kategoria (vybrat jedno z dodaneho zoznamu),"Nazov (odstranit cisla, skonzistentnit a spresnit)",Koncepty,Obtiaznost (impossible/tazke/stredne/lahke/trivialne),Otazka,Image url,Odpoved,Priemer,Poznamka pre studentov,Komentar pre nas (studentom sa nezobrazi),Hodnotenie expert ML,Hodnotenie expert JS,Rozdiel,Komentar ML,Komentar JS
1072799564,10,836,y,Y,diagram,Určovanie typu diagramu,"UML,štruktúrny diagram,diagram objektov",lahke,Aký diagram je na obrázku? Patrí do UML?,http://alef.fiit.stuba.sk/learning_objects/resources/pic-psi-sg-q-0.png,Object diagram (Objektovy diagram) Patri do UML.,1,,,1,1,0,,
1072799564,12,837,,Y,diagram,Určovanie typu diagramu,"UML,štruktúrny diagram,diagram objektov",lahke,Aký diagram je na obrázku? Patrí do UML?,http://alef.fiit.stuba.sk/learning_objects/resources/pic-psi-sg-q-0.png,"Diagram objektov, patri do UML do strukturnych diagramov",1,,,1,1,0,,
1072799564,15,838,y,Y,diagram,Určovanie typu diagramu,"UML,štruktúrny diagram,diagram komponentov
",lahke,Aký diagram je na obrázku? Patrí do UML?,http://alef.fiit.stuba.sk/learning_objects/resources/pic-psi-sg-q-0.png,diagram komponentov - patri do uml,0.1,,,0,0.2,0.2,,
1072799564,17,839,,Y,diagram,Určovanie typu diagramu,"UML,diagram modelu údajov,model údajov
",lahke,Aký diagram je na obrázku? Patrí do UML?,http://alef.fiit.stuba.sk/learning_objects/resources/pic-psi-sg-q-0.png,"diagram udajov, do UML nepatri",0,,,0,0,0,,
1072799565,22,840,y,Y,diagram,Určovanie typu diagramu,"UML,diagram komunikácie,dynamický diagram,diagram spravania",lahke,Aký diagram je na obrázku? Patrí do UML?,http://alef.fiit.stuba.sk/learning_objects/resources/pic-psi-sg-q-1.png,"diagram komunikacie, ano patri",1,,,1,1,0,,
1072799565,23,841,y,Y,diagram,Určovanie typu diagramu,"UML,diagram komunikácie,dynamický diagram,diagram spravania",lahke,Aký diagram je na obrázku? Patrí do UML?,http://alef.fiit.stuba.sk/learning_objects/resources/pic-psi-sg-q-1.png,Interakčný diagram. Patrí do UML.,0.1,,,0,0.2,0.2,,
1072799565,25,842,,Y,diagram,Určovanie typu diagramu,"UML,diagram komunikácie,dynamický diagram,diagram spravania
",lahke,Aký diagram je na obrázku? Patrí do UML?,http://alef.fiit.stuba.sk/learning_objects/resources/pic-psi-sg-q-1.png,diagram komunikacie patri do UML,1,,,1,1,0,,
1072799565,32,843,,Y,diagram,Určovanie typu diagramu,"UML,model správania",lahke,Aký diagram je na obrázku? Patrí do UML?,http://alef.fiit.stuba.sk/learning_objects/resources/pic-psi-sg-q-1.png,"nepatri do uml, diagram spoluprace",0.7,,,0.7,0.7,0,,
1072799566,49,844,,Y,diagram,Určovanie typu diagramu,"model údajov,diagram modelu údajov",stredne,Aký typ diagramu je na obrázku?,http://alef.fiit.stuba.sk/learning_objects/resources/pic-psi-sg-q-10.png,model udajov,0.45,"Pozrite sa na diagram z pohľadu abstrakcie, čo všetko obsahuje.",,0.3,0.6,0.3,Mal uviest typ diagramu,
1072799566,50,845,,Y,diagram,Určovanie typu diagramu,"diagram tried,UML,logický model,štruktúrny diagram,model údajov,diagram modelu údajov",stredne,Aký typ diagramu je na obrázku?,http://alef.fiit.stuba.sk/learning_objects/resources/pic-psi-sg-q-10.png,class diagram(diagram tried) - znazornujeme nim napr. logicky model udajov,0.25,"Pozrite sa na diagram z pohľadu abstrakcie, čo všetko obsahuje.",,0.2,0.3,0.1,,
1072799567,87,846,y,Y,strukturne_modely,Doplnenie kardinality väzieb do logického dátového modelu,"logický model,model údajov, modelovanie",lahke,"Na obrázku je logický dátový model. Doplňte kardinalitu jednotlivých väzieb (vyberte si tri). Zapíšte v tvare: entita1 entita2 A B (znamená: koniec hrany pri entite s názvom entita1 má násobnosť A, pri entita2 násobnosť B)",http://alef.fiit.stuba.sk/learning_objects/resources/pic-psi-sg-q-100.png,"Student Predmet 1..n 1..n (Student moze patrit do viacerych predmetov, predmet moze mat viac studentov) Ucitel Predmet 1..n 1..n (ano, jeden predmet moze ucit viac ucitelov, napr. Matematicka Logika :) ) Ustav Ucitel 1..n 1..n (ucitel moze byt vo viacerych ustavoch, ustav moze mat viac ucitelov)",0.775,,,0.7,0.85,0.15,,
1072799567,88,847,,Y,strukturne_modely,Doplnenie kardinality väzieb do logického dátového modelu,"logický model,model údajov, modelovanie",lahke,"Na obrázku je logický dátový model. Doplňte kardinalitu jednotlivých väzieb (vyberte si tri). Zapíšte v tvare: entita1 entita2 A B (znamená: koniec hrany pri entite s názvom entita1 má násobnosť A, pri entita2 násobnosť B)",http://alef.fiit.stuba.sk/learning_objects/resources/pic-psi-sg-q-100.png,ucitel ustav n 1 ucitel predmet 1 n sudent predmet 1 n predmet ustav n 1,0.7,,,0.7,0.7,0,,
1072799569,117,848,,Y,softverove_inzinierstvo,Princípy Unified process,"metóda vývoja softvéru,softvérové inžinierstvo,architektúra softvérových systémov",stredne,O aké tri princípy sa opiera Unified process?,,"vedeny pripadmi pouzitia, postaveny na architekture, je inkrementalny a iterativny",1,,,1,1,0,,
1072799569,119,849,,Y,softverove_inzinierstvo,Princípy Unified process,"metóda vývoja softvéru,softvérové inžinierstvo",stredne,O aké tri princípy sa opiera Unified process?,,je iterativny a inkrementalny - je riadeny pripadmi pouzitia (use case driven) - stavia do centra architekturu (architecture centric),1,,,1,1,0,,
1072799569,120,850,,Y,softverove_inzinierstvo,Princípy Unified process,"metóda vývoja softvéru,softvérové inžinierstvo,architektúra softvérových systémov",stredne,O aké tri princípy sa opiera Unified process?,,"postaveny na architekture riadeny pripadmi pouzitia iterativny, inkrementalny",1,,,1,1,0,,
1072799570,128,851,,Y,metody_tvorby_softveru,Základné konštrukcie v Jacksonovom diagrame,"modelovanie,dátovo-orientovaná metóda",tazke,O aké tri základné konštrukcie sa opiera Jacksonov diagram (slúžia aj na zápis ľubovoľného algoritmu)?,,Funkcionalna konstrukcia Objektovo orientovana konstrukcia Datova konstrukcia,0,,,0,0,0,,
1072799570,129,852,,Y,metody_tvorby_softveru,Základné konštrukcie v Jacksonovom diagrame,modelovanie,tazke,O aké tri základné konštrukcie sa opiera Jacksonov diagram (slúžia aj na zápis ľubovoľného algoritmu)?,,"opakovanie, podmienka(vetvenie), postupnost",1,,,1,1,0,,
1072799570,132,853,,Y,metody_tvorby_softveru,Základné konštrukcie v Jacksonovom diagrame,modelovanie,tazke,O aké tri základné konštrukcie sa opiera Jacksonov diagram (slúžia aj na zápis ľubovoľného algoritmu)?,,"iteracia, vyber, postupnost",0.925,,,1,0.85,0.15,,
1072799570,134,854,,Y,metody_tvorby_softveru,Základné konštrukcie v Jacksonovom diagrame,modelovanie,tazke,O aké tri základné konštrukcie sa opiera Jacksonov diagram (slúžia aj na zápis ľubovoľného algoritmu)?,,"postupnost, iteracia a vyber",0.925,,,1,0.85,0.15,,
1072799571,169,855,y,Y,strukturne_modely,Oprava chýb v logickom dátovom modeli,"logický model,modelovanie,diagram modelu údajov",lahke,Opravte chyby v logickom dátovom modeli na obrázku (obsahuje 2 typy chýb).,http://alef.fiit.stuba.sk/learning_objects/resources/pic-psi-sg-q-104.png,ustav a student nemaju def polozky niektore polozky v entitach su nepodstatne(ustav - miestnost sekretariatu == nepodstatne) ani jeden student ma nejaky predmet? je tam zle relacia,0.2,,,0.1,0.3,0.2,,
1072799571,171,856,,Y,strukturne_modely,Oprava chýb v logickom dátovom modeli,"logický model,modelovanie,diagram modelu údajov",lahke,Opravte chyby v logickom dátovom modeli na obrázku (obsahuje 2 typy chýb).,http://alef.fiit.stuba.sk/learning_objects/resources/pic-psi-sg-q-104.png,"zle kardinality ... 0..1 a 1 ..* a 0..1 ... na predmet moze chodit viacero studentov takze napriklad m studentov .. ucitel moze ucit viac predmetov ..m ..taktiez tam nesmu byt datove typy ako string, integer ...",0.75,,,0.8,0.7,0.1,,
1072799571,173,857,,Y,strukturne_modely,Oprava chýb v logickom dátovom modeli,"logický model,modelovanie,diagram modelu údajov",trivialne,Opravte chyby v logickom dátovom modeli na obrázku (obsahuje 2 typy chýb).,http://alef.fiit.stuba.sk/learning_objects/resources/pic-psi-sg-q-104.png,Ustav zabezpecuje najmenej N a najviac 1 predmet je ZLE. Moze byt spojenie aj medzi Ucitelom a Studentom.,0.05,,,0,0.1,0.1,,
1072799572,183,858,,Y,manazment,Porovnanie zdrojov potrebných na program a systém-program,"manažment,manažment projektu,diagram modelu údajov",stredne,Porovnajte zdroje potrebné na vývoj jednoduchého programu a programového systému-produktu.,,"Ide tu o pravidlo 3. Jednoduchy program potrebuje 1 jednotku. Programovy system 3x tolko, programovy produkt tiez 3x tolko a dokopy na programovy system-produkt je to 3x3=9x tolko..",1,,,1,1,0,,
1072799572,185,859,y,Y,manazment,Porovnanie zdrojov potrebných na program a systém-program,"manažment,manažment projektu",stredne,Porovnajte zdroje potrebné na vývoj jednoduchého programu a programového systému-produktu.,,"jednoduchy program vytvarame pre seba, vacsinou jeden programator. Programovy system vytvara viac programatorov - 3x vacsie usilie a je prisposobene pre viac ludi - 3x vacsie usilie = 9x vacsie usilie, dobre zdokumentovane",1,,,1,1,0,,
1072799572,187,860,y,Y,manazment,Porovnanie zdrojov potrebných na program a systém-program,"manažment,manažment projektu",tazke,Porovnajte zdroje potrebné na vývoj jednoduchého programu a programového systému-produktu.,,"na vytvorenie jednoducheho programu je potrebny jeden programator na vytvorenie programoveho systemu-produktu je potrebny tim ludi, analytikov, navrharov, programatorov, manazerov, atd.",0.5,,,0.5,0.5,0,,
