ID Sypanie,Obrazok,"Nazov (odstranit cisla, skonzistentnit a spresnit)",Kategoria (vybrat jedno z dodaneho zoznamu),Do nultej verzie,Otazka,Koncepty,Kapitola,Subkapitola,"Typ otazky (single choice, multi-choice, ano-nie, volny text,…)",Spravna odpoved,"Moznosti, ak boli k dispozicii",Obtiaznost (impossible/tazke/stredne/lahke/trivialne),XML,Pressman
494,,Nevhodné názvy entít v diagrame modelu údajov,strukturne_modely,y,"Určte, ktoré názvy NIE sú vhodné pre dátovú entitu:","štruktúrny diagram, diagram modelu údajov, model údajov, modelovanie",08 Štruktúrne modely,08.01 Model údajov a diagram tried,multi-choice,Študenti;Cvičenia;ID;Matematická Analýza;,<correct>Študenti</correct>;Učiteľ;Predmet;<correct>Cvičenia</correct>;<correct>ID</correct>;<correct>Matematická Analýza</correct>;Prednášková sála;,trivialne,questions/psi-op-q-001mk.xml,
495,,Názvy hráčov v diagrame prípadov použitia,funkcionalne_modely,y,Vyberte vhodné názvy pre hráčov v diagrame prípadov použitia:,"UML, diagram prípadov použitia, funkcionálny model, modelovanie",07 Funkcionálne modely,07.01 Model a diagram prípadov použitia,multi-choice,Zákazník;Platobný systém;Čas;Učiteľ;,Používatelia;<correct>Zákazník</correct>;Algoritmus;<correct>Platobný systém</correct>;<correct>Čas</correct>;GUI;<correct>Učiteľ</correct>;,trivialne,questions/psi-op-q-001pl.xml,
496,,Primárny kľúč v diagrame modelu údajov,strukturne_modely,y,Určte najvhodnejší atribút pre primárny kľúč:,"štruktúrny diagram, diagram modelu údajov, model údajov, modelovanie",08 Štruktúrne modely,08.01 Model údajov a diagram tried,single-choice,ISBN;,Dátum vydania;Priezvisko;Rodné číslo;<correct>ISBN</correct>;Adresa;Telefónne číslo;,trivialne,questions/psi-op-q-002mk.xml,
497,,Čo platí o sekvenčnom diagrame,modely_spravania,y,"Vyber tvrdenia, ktoré platia o sekvenčnom diagrame:","UML, sekvenčný diagram, model správania, modelovanie",09 Modely správania,09.01 Sekvenčný diagram,multi-choice,Základnými entitami sú objekt a správa.;Znázorňuje interakcie medzi objektami v časovej postupnosti.;Modeluje dynamické správanie systému.;,<correct>Základnými entitami sú objekt a správa.</correct>;Obsahuje vzťahy medzi objektami.;Modeluje štruktúru systému.;<correct>Znázorňuje interakcie medzi objektami v časovej postupnosti.</correct>;<correct>Modeluje dynamické správanie systému.</correct>;Znázorňuje tok riadenia medzi činnosťami systému.;Je ekvivalentný s diagramom tried.;,lahke,questions/psi-op-q-002ok.xml,
498,,Millerovo pravidlo,modelovanie_softveru ,,Čo hovorí Millerovo pravidlo?,modelovanie,06 Prehľad modelovania softvéru,06.00 [Main],single-choice,Človek sa v danom čase môže sústrediť na 7 +- 2 kusy informácií.;,Diagramy by mali obsahovať maximálne 10 zmysluplných entít.;Človek dokáže vnímať diagram o veľkosti maximálne polovici A4.;<correct>Človek sa v danom čase môže sústrediť na 7 +- 2 kusy informácií.</correct>;Diagramy by mali byť na prvý pohľad prehľadné.;Človek nedokáže naraz porovnávať viac ako 2 diagramy.;Človek sa dokáže sústrediť najviac na 5 zložitejších informácií.;,lahke,questions/psi-op-q-002pl.xml,
499,,Diagram modelu údajov kardinalita primárneho kľúča,strukturne_modely,y,"Určte aká môže byť kardinalita väzby pri entite, ktorá definuje primárny kľúč pre túto väzbu:","štruktúrny diagram, diagram modelu údajov, model údajov, modelovanie",08 Štruktúrne modely,08.01 Model údajov a diagram tried,multi-choice,0;1;,<correct>0</correct>;<correct>1</correct>;M;,lahke,questions/psi-op-q-003mk.xml,
500,,Diagram komunikácií,modely_spravania,y,Diagram komunikácií je sémanticky ekvivalentný:,"UML, diagram komunikácie, sekvenčný diagram, model správania, modelovanie",09 Modely správania,09.02 Diagram komunikácie,single-choice,so sekvenčným diagramom.;,so stavovým diagramom.;<correct>so sekvenčným diagramom.</correct>;s diagramom tried.;s diagramom prípadov použitia.;,trivialne,questions/psi-op-q-003ok.xml,
501,,Rovnováha údajov v diagrame tokov údajov,funkcionalne_modely,,"Čo znamená ""rovnováha údajov"" pri diagrame tokov údajov?","funkcionálny model, diagram tokov údajov, modelovanie",07 Funkcionálne modely,07.03 Diagram tokov údajov,single-choice,Na každej úrovni rozpoznávame rovnaké údaje.;,Objem vstupných aj výstupných údajov musí byť rovnaký.;Údaje na prvej úrovni sa musia zhodovať s údajmi na poslednej úrovni.;Súčet všetkých rozdielov medzi vstupnými a výstupnými údajmi každej úrovne musí byť rovný 0.;<correct>Na každej úrovni rozpoznávame rovnaké údaje.</correct>;Objem vstupných údajov do diagramu musí zodpovedať počtu dátových entít v tomto diagrame.;,stredne,questions/psi-op-q-003pl.xml,
502,,Väzobná entita v diagrame modelu údajov,strukturne_modely,y,Väzobná dátová entita sa používa pri vzťahoch:,"štruktúrny diagram, diagram modelu údajov, model údajov, modelovanie",08 Štruktúrne modely,08.01 Model údajov a diagram tried,single-choice,M:N;,1:1;1:M;<correct>M:N</correct>;,trivialne,questions/psi-op-q-004mk.xml,
503,,Čo platí o stavovovom diagrame,modely_spravania,y,"Vyber tvrdenia, ktoré platia:","UML, stavový diagram, model správania, modelovanie",09 Modely správania,09.03 Stavový diagram,multi-choice,Stavový diagram môže byť viacúrovňový.;Je to prostriedok na vyjadrenie kauzálnych a časových súvislostí akcií a stavov v systéme.;,"Modeluje systém ako sieť procesov, ktoré spracúvajú údaje v systéme.;<correct>Stavový diagram môže byť viacúrovňový.</correct>;Stavový diagram je špeciálnym druhom diagramu činností.;<correct>Je to prostriedok na vyjadrenie kauzálnych a časových súvislostí akcií a stavov v systéme.</correct>;Stavový diagram je sémanticky ekvivalentný so sekvenčným diagramom.;Uzly v diagrame predstavujú stavy a hrany reprezentujú tok údajov.;",stredne,questions/psi-op-q-004ok.xml,
504,,Použitie diagramov prípadov použitia,funkcionalne_modely,y,Použitie diagramov prípadov použitia:,"UML, diagram prípadov použitia, funkcionálny model, modelovanie",07 Funkcionálne modely,07.01 Model a diagram prípadov použitia,multi-choice,Modelovanie požiadaviek na systém;Modelovanie kontextu systému;Komunikácia s používateľom;,<correct>Modelovanie požiadaviek na systém</correct>;Modelovanie vzťahu používateľov systému k údajom v tomto systéme;Modelovanie postupnosti vytvárania projektu;<correct>Modelovanie kontextu systému</correct>;Modelovanie priorít projektu;Modelovanie základnej architektúry systému;<correct>Komunikácia s používateľom</correct>;,lahke,questions/psi-op-q-004pl.xml,
505,,Zapuzdrenie,strukturne_modely,,Zapuzdrenie NIE je:,"UML, štruktúrny diagram, diagram tried, modelovanie",04 Základy modelovania softvéru,,multi-choice,mechanizmus zdielania vlastností a správania;zovšeobecnie;schopnosť ukryť rôzne implementácie;abstrakcia;,"<correct>mechanizmus zdielania vlastností a správania</correct>;skrytie všetkých podrobností, ktoré neprispievajú k jeho základnej charakteristike;<correct>zovšeobecnie</correct>;<correct>schopnosť ukryť rôzne implementácie</correct>;<correct>abstrakcia</correct>;",lahke,questions/psi-op-q-005mk.xml,
506,,Modely správania,modely_spravania,y,Medzi modely správania nepatrí:,"UML, model správania, modelovanie",09 Modely správania,09.00 [Main],single-choice,Diagram tried.;,Sekvenčný diagram.;Komunikačný diagram.;Stavový diagram.;<correct>Diagram tried.</correct>;,lahke,questions/psi-op-q-005ok.xml,
